compound_id,base_rdkit_smiles,DILIst_Classification,cellcount_active,GSH_active,mitostruct_active,MMP_active,nucarea_active,nucmask_active,ROS_active
CID25215,CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0
CID4506,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CID1549008,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CID2131,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
CID91276,O=C(CO)NCCCOc1cccc(CN2CCCCC2)c1,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0
CID5329102,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
CID9875401,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
CID2140,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID2083,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID2826718,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
CID135564391,CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID5625,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
CID146159982,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CCN(CC(=O)[O-])CC(=O)O,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID65495,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
CID13314,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0
CID9571080,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccn4ncccc43)CS[C@H]12)c1nsc(N)n1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID18381,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID2662,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4369359,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID441335,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
CID9578005,Cc1c(OCC(F)(F)F)ccnc1C[S@@+]([O-])c1nc2ccccc2[nH]1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0
CID71113,CCCC(CCC)C(N)=O,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID456255,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID6024,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID6060,CC(=O)OCC[N+](C)(C)C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID3779,CC(C)NCC(O)c1ccc(O)c(O)c1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID5479537,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID53232,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
CID65028,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4893,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CID5702198,N,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CID5479539,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID6915744,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID11243969,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID135402045,CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CID54682461,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0
CID5479,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID5314,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID5282375,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CID2366,CNCCc1ccccn1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CID77991,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0
CID6010,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0
CID7961,Brc1ccccc1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CID6251,OCC(O)C(O)C(O)C(O)CO,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CID5391,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
CID447043,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID3052776,C#CCN[C@@H]1CCc2ccccc21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
