,meas,spid,direction,sc_hit,mc_hit111,keep,relation
193,MMP,681,up,,1,y,
194,MMP,682,up,,1,y,
195,MMP,686,up,,1,y,
196,MMP,688,up,,1,n,
197,MMP,691,up,1,,n,
198,MMP,693,down,,2,y,
199,MMP,693,up,1,,n,
200,MMP,696,up,,1,y,
201,MMP,708,up,1,1,y,
202,MMP,709,up,1,,n,
203,MMP,712,up,,2,y,
204,MMP,721,up,1,2,n,
