,meas,spid,direction,sc_hit,mc_hit111,keep,relation
102,CellCount,666,down,3,,n,
150,CellCount,678,down,,2,y,
149,CellCount,681,down,,2,n,
106,CellCount,682,down,1,1,y,
148,CellCount,686,down,,2,y,
121,CellCount,688,up,1,,n,
147,CellCount,688,down,,1,y,<
151,CellCount,696,down,,1,y,
154,CellCount,707,down,,1,y,
77,CellCount,708,down,1,1,y,
156,CellCount,712,down,,1,y,
99,CellCount,721,down,1,2,n,
