meas,spid,sc_hit,mc_hit111,direction,keep
GSH,678,,2,up,y
GSH,679,1,3,down,n
GSH,681,,1,down,n
GSH,682,,1,down,n
GSH,686,,3,up,y
GSH,688,,1,up,n
GSH,696,,2,up,y
GSH,709,,1,up,n
GSH,712,,4,up,y
GSH,721,,2,up,y
