,meas,spid,sc_hit,mc_hit111,direction,keep
173,NucMask,578,2.0,4.0,up,
174,NucMask,580,4.0,4.0,up,
175,NucMask,585,2.0,,up,
176,NucMask,588,1.0,2.0,up,
177,NucMask,591,3.0,4.0,up,
178,NucMask,592,3.0,3.0,up,
179,NucMask,594,3.0,2.0,up,
180,NucMask,595,,2.0,down,
181,NucMask,596,,1.0,down,
182,NucMask,597,3.0,3.0,up,
183,NucMask,602,4.0,4.0,up,
184,NucMask,612,3.0,4.0,up,
185,NucMask,615,,2.0,down,
186,NucMask,616,4.0,4.0,up,
187,NucMask,618,3.0,4.0,up,
188,NucMask,619,3.0,4.0,up,
189,NucMask,620,4.0,4.0,up,
190,NucMask,624,,1.0,up,
191,NucMask,627,1.0,1.0,up,
192,NucMask,633,4.0,4.0,up,
193,NucMask,634,4.0,4.0,up,
194,NucMask,639,4.0,4.0,up,
195,NucMask,641,3.0,3.0,up,
196,NucMask,651,,1.0,up,
197,NucMask,654,2.0,4.0,up,
198,NucMask,656,1.0,4.0,up,
199,NucMask,660,,2.0,down,
200,NucMask,666,4.0,3.0,up,
201,NucMask,678,4.0,4.0,up,
202,NucMask,679,,2.0,down,
203,NucMask,686,,3.0,up,
204,NucMask,693,,2.0,up,
205,NucMask,696,,4.0,up,
206,NucMask,699,1.0,,up,
207,NucMask,707,,1.0,up,
208,NucMask,712,,2.0,up,
209,NucMask,721,,2.0,down,
