,meas,spid,sc_hit,mc_hit111,direction,keep
178,NucArea,544,4.0,1.0,down,
179,NucArea,544,,1.0,up,
180,NucArea,547,1.0,2.0,down,
181,NucArea,553,1.0,1.0,up,
182,NucArea,556,3.0,4.0,down,
183,NucArea,558,1.0,,up,
184,NucArea,559,2.0,,down,
185,NucArea,559,,1.0,up,
186,NucArea,565,2.0,2.0,up,
187,NucArea,567,3.0,1.0,down,
188,NucArea,568,1.0,,down,
189,NucArea,568,,1.0,up,
190,NucArea,572,3.0,,down,
191,NucArea,572,,1.0,up,
192,NucArea,573,4.0,2.0,down,
193,NucArea,578,3.0,,down,
194,NucArea,578,,4.0,up,
195,NucArea,580,3.0,1.0,down,
196,NucArea,585,1.0,,down,
197,NucArea,588,2.0,,down,
198,NucArea,591,2.0,,down,
199,NucArea,592,,1.0,down,
200,NucArea,594,1.0,,down,
201,NucArea,594,,2.0,up,
202,NucArea,595,1.0,2.0,up,
203,NucArea,596,,1.0,up,
204,NucArea,597,3.0,1.0,down,
205,NucArea,599,,2.0,up,
206,NucArea,602,3.0,1.0,down,
207,NucArea,602,,2.0,up,
208,NucArea,612,3.0,2.0,down,
209,NucArea,615,2.0,2.0,up,
210,NucArea,616,4.0,2.0,down,
211,NucArea,618,2.0,4.0,down,
212,NucArea,619,1.0,,down,
213,NucArea,620,,1.0,up,
214,NucArea,624,1.0,,down,
215,NucArea,627,2.0,1.0,down,
216,NucArea,633,3.0,3.0,down,
217,NucArea,634,2.0,4.0,down,
218,NucArea,639,2.0,2.0,down,
219,NucArea,641,4.0,3.0,down,
220,NucArea,651,1.0,,down,
221,NucArea,654,,2.0,down,
222,NucArea,656,,1.0,down,
223,NucArea,657,,1.0,up,
224,NucArea,660,2.0,1.0,up,
225,NucArea,666,3.0,2.0,down,
226,NucArea,667,1.0,,up,
227,NucArea,681,2.0,4.0,up,
228,NucArea,682,2.0,2.0,up,
229,NucArea,686,1.0,,down,
230,NucArea,686,,1.0,up,
231,NucArea,688,,1.0,up,
232,NucArea,693,2.0,,down,
233,NucArea,696,,1.0,down,
234,NucArea,696,,1.0,up,
235,NucArea,708,2.0,2.0,up,
236,NucArea,712,,1.0,up,
237,NucArea,721,2.0,2.0,up,
