,meas,spid,sc_hit,mc_hit111,direction,keep
185,MMP,633,2.0,4.0,up,
186,MMP,634,2.0,2.0,up,
187,MMP,639,4.0,4.0,up,
188,MMP,641,3.0,2.0,up,
189,MMP,651,1.0,,up,
190,MMP,654,,3.0,up,
191,MMP,656,1.0,3.0,up,
192,MMP,666,3.0,1.0,up,
193,MMP,681,,1.0,up,
194,MMP,682,,1.0,up,
195,MMP,686,,1.0,up,
196,MMP,688,,1.0,up,
197,MMP,691,1.0,,up,
198,MMP,693,,2.0,down,
199,MMP,693,1.0,,up,
200,MMP,696,,1.0,up,
201,MMP,708,1.0,1.0,up,
202,MMP,709,1.0,,up,
203,MMP,712,,2.0,up,
204,MMP,721,1.0,2.0,up,
