,meas,spid,sc_hit,mc_hit111,direction,keep
160,MitoStruct,544,4.0,1.0,up,
161,MitoStruct,547,,1.0,up,
162,MitoStruct,552,1.0,1.0,up,
163,MitoStruct,556,,2.0,down,
164,MitoStruct,556,2.0,2.0,up,
165,MitoStruct,559,,1.0,down,
166,MitoStruct,559,,2.0,up,
167,MitoStruct,565,,2.0,up,
168,MitoStruct,567,,1.0,down,
169,MitoStruct,567,,1.0,up,
170,MitoStruct,572,1.0,2.0,up,
171,MitoStruct,573,4.0,3.0,down,
172,MitoStruct,573,,1.0,up,
173,MitoStruct,578,2.0,3.0,down,
174,MitoStruct,580,2.0,3.0,up,
175,MitoStruct,591,3.0,1.0,up,
176,MitoStruct,594,2.0,1.0,up,
177,MitoStruct,597,2.0,3.0,up,
178,MitoStruct,599,,1.0,up,
179,MitoStruct,602,4.0,4.0,up,
180,MitoStruct,611,1.0,,up,
181,MitoStruct,612,1.0,2.0,up,
182,MitoStruct,616,,4.0,down,
183,MitoStruct,616,2.0,,up,
184,MitoStruct,618,,1.0,down,
185,MitoStruct,618,3.0,,up,
186,MitoStruct,619,2.0,1.0,up,
187,MitoStruct,620,1.0,3.0,up,
188,MitoStruct,624,,2.0,up,
189,MitoStruct,627,1.0,1.0,up,
190,MitoStruct,633,,2.0,down,
191,MitoStruct,634,,3.0,down,
192,MitoStruct,634,2.0,1.0,up,
193,MitoStruct,639,,2.0,down,
194,MitoStruct,639,3.0,2.0,up,
195,MitoStruct,641,1.0,3.0,down,
196,MitoStruct,651,1.0,,up,
197,MitoStruct,654,,2.0,down,
198,MitoStruct,654,,2.0,up,
199,MitoStruct,656,,3.0,up,
200,MitoStruct,666,1.0,1.0,up,
201,MitoStruct,686,,1.0,up,
202,MitoStruct,693,1.0,,up,
203,MitoStruct,696,,1.0,up,
204,MitoStruct,712,,2.0,up,
205,MitoStruct,721,,4.0,up,
