,spid,direction,hit,meas
950,556,down,0,MitoStruct
834,501,down,0,MitoStruct
836,502,down,0,MitoStruct
948,555,down,0,MitoStruct
838,503,down,0,MitoStruct
840,504,down,0,MitoStruct
946,554,down,0,MitoStruct
842,505,down,0,MitoStruct
830,50,down,0,MitoStruct
814,492,down,0,MitoStruct
960,560,down,0,MitoStruct
812,491,down,0,MitoStruct
784,479,down,0,MitoStruct
974,567,down,0,MitoStruct
786,48,down,0,MitoStruct
788,480,down,0,MitoStruct
972,566,down,0,MitoStruct
790,481,down,0,MitoStruct
792,482,down,3,MitoStruct
970,565,down,0,MitoStruct
794,483,down,0,MitoStruct
796,484,down,4,MitoStruct
968,564,down,0,MitoStruct
798,485,down,0,MitoStruct
800,486,down,0,MitoStruct
966,563,down,0,MitoStruct
802,487,down,0,MitoStruct
804,488,down,0,MitoStruct
964,562,down,0,MitoStruct
806,489,down,0,MitoStruct
808,49,down,0,MitoStruct
962,561,down,0,MitoStruct
810,490,down,0,MitoStruct
844,506,down,0,MitoStruct
782,478,down,0,MitoStruct
944,553,down,0,MitoStruct
848,508,down,0,MitoStruct
882,524,down,0,MitoStruct
884,525,down,0,MitoStruct
924,544,down,0,MitoStruct
886,526,down,0,MitoStruct
888,527,down,0,MitoStruct
922,543,down,0,MitoStruct
890,528,down,0,MitoStruct
892,529,down,0,MitoStruct
920,542,down,0,MitoStruct
926,545,down,0,MitoStruct
894,53,down,0,MitoStruct
918,541,down,0,MitoStruct
898,531,down,4,MitoStruct
900,532,down,0,MitoStruct
916,540,down,0,MitoStruct
902,533,down,0,MitoStruct
904,535,down,0,MitoStruct
914,54,down,0,MitoStruct
906,536,down,0,MitoStruct
908,537,down,0,MitoStruct
896,530,down,0,MitoStruct
880,523,down,0,MitoStruct
878,522,down,0,MitoStruct
928,546,down,0,MitoStruct
942,552,down,0,MitoStruct
850,509,down,0,MitoStruct
852,51,down,0,MitoStruct
940,551,down,0,MitoStruct
854,510,down,0,MitoStruct
856,511,down,0,MitoStruct
938,550,down,0,MitoStruct
858,512,down,0,MitoStruct
860,513,down,1,MitoStruct
936,55,down,0,MitoStruct
862,514,down,0,MitoStruct
864,515,down,0,MitoStruct
934,549,down,0,MitoStruct
866,516,down,0,MitoStruct
868,518,down,0,MitoStruct
932,548,down,0,MitoStruct
870,519,down,0,MitoStruct
872,52,down,0,MitoStruct
930,547,down,0,MitoStruct
874,520,down,0,MitoStruct
876,521,down,0,MitoStruct
846,507,down,4,MitoStruct
392,287,down,0,MitoStruct
976,568,down,0,MitoStruct
778,476,down,0,MitoStruct
686,424,down,0,MitoStruct
688,425,down,0,MitoStruct
1022,59,down,0,MitoStruct
690,426,down,0,MitoStruct
692,427,down,0,MitoStruct
1020,589,down,0,MitoStruct
694,428,down,0,MitoStruct
696,429,down,0,MitoStruct
1018,588,down,0,MitoStruct
1024,590,down,0,MitoStruct
698,43,down,0,MitoStruct
1016,587,down,0,MitoStruct
702,431,down,0,MitoStruct
704,432,down,0,MitoStruct
1014,585,down,0,MitoStruct
706,433,down,0,MitoStruct
708,434,down,0,MitoStruct
1012,584,down,0,MitoStruct
710,435,down,0,MitoStruct
712,436,down,0,MitoStruct
700,430,down,0,MitoStruct
684,423,down,0,MitoStruct
1366,99,down,0,MitoStruct
682,422,down,0,MitoStruct
654,409,down,0,MitoStruct
1038,597,down,0,MitoStruct
656,41,down,0,MitoStruct
658,411,down,0,MitoStruct
1036,596,down,0,MitoStruct
660,412,down,0,MitoStruct
662,413,down,0,MitoStruct
1034,595,down,0,MitoStruct
664,414,down,0,MitoStruct
666,415,down,0,MitoStruct
1032,594,down,0,MitoStruct
668,416,down,0,MitoStruct
670,417,down,0,MitoStruct
1030,593,down,0,MitoStruct
672,418,down,0,MitoStruct
674,419,down,0,MitoStruct
1028,592,down,0,MitoStruct
676,42,down,2,MitoStruct
678,420,down,0,MitoStruct
1026,591,down,0,MitoStruct
680,421,down,0,MitoStruct
1010,583,down,0,MitoStruct
780,477,down,0,MitoStruct
714,437,down,0,MitoStruct
1008,582,down,0,MitoStruct
752,464,down,0,MitoStruct
990,574,down,0,MitoStruct
754,465,down,0,MitoStruct
756,466,down,0,MitoStruct
988,573,down,4,MitoStruct
758,467,down,0,MitoStruct
760,468,down,0,MitoStruct
986,572,down,0,MitoStruct
762,469,down,0,MitoStruct
750,463,down,0,MitoStruct
764,47,down,0,MitoStruct
766,470,down,0,MitoStruct
768,471,down,0,MitoStruct
982,570,down,0,MitoStruct
770,472,down,0,MitoStruct
772,473,down,0,MitoStruct
980,57,down,0,MitoStruct
774,474,down,0,MitoStruct
776,475,down,0,MitoStruct
978,569,down,0,MitoStruct
984,571,down,0,MitoStruct
992,575,down,0,MitoStruct
748,462,down,0,MitoStruct
746,461,down,0,MitoStruct
718,439,down,0,MitoStruct
720,44,down,0,MitoStruct
1006,581,down,0,MitoStruct
722,440,down,0,MitoStruct
724,443,down,0,MitoStruct
1004,580,down,0,MitoStruct
726,45,down,2,MitoStruct
728,451,down,0,MitoStruct
1002,58,down,0,MitoStruct
730,452,down,0,MitoStruct
732,453,down,0,MitoStruct
1000,579,down,0,MitoStruct
734,454,down,0,MitoStruct
736,455,down,0,MitoStruct
998,578,down,2,MitoStruct
738,456,down,0,MitoStruct
740,457,down,0,MitoStruct
996,577,down,0,MitoStruct
742,459,down,0,MitoStruct
744,46,down,0,MitoStruct
994,576,down,0,MitoStruct
716,438,down,0,MitoStruct
1170,658,down,0,MitoStruct
1138,643,down,0,MitoStruct
1268,702,down,0,MitoStruct
1286,710,down,0,MitoStruct
160,172,down,0,MitoStruct
162,173,down,0,MitoStruct
1284,71,down,0,MitoStruct
164,174,down,0,MitoStruct
166,175,down,0,MitoStruct
1282,709,down,0,MitoStruct
168,176,down,0,MitoStruct
170,177,down,0,MitoStruct
1280,708,down,0,MitoStruct
172,178,down,0,MitoStruct
174,179,down,2,MitoStruct
1278,707,down,0,MitoStruct
176,18,down,0,MitoStruct
178,180,down,0,MitoStruct
1276,706,down,0,MitoStruct
180,181,down,0,MitoStruct
182,182,down,0,MitoStruct
1274,705,down,0,MitoStruct
158,171,down,0,MitoStruct
156,170,down,0,MitoStruct
1288,713,down,0,MitoStruct
154,17,down,0,MitoStruct
1302,72,down,0,MitoStruct
128,158,down,0,MitoStruct
130,159,down,0,MitoStruct
1300,719,down,0,MitoStruct
132,16,down,0,MitoStruct
134,160,down,0,MitoStruct
1298,718,down,0,MitoStruct
136,161,down,0,MitoStruct
138,162,down,0,MitoStruct
184,183,down,0,MitoStruct
1296,717,down,0,MitoStruct
142,164,down,0,MitoStruct
1294,716,down,0,MitoStruct
144,165,down,0,MitoStruct
146,166,down,0,MitoStruct
1292,715,down,0,MitoStruct
148,167,down,0,MitoStruct
150,168,down,0,MitoStruct
1290,714,down,0,MitoStruct
152,169,down,0,MitoStruct
140,163,down,1,MitoStruct
126,157,down,0,MitoStruct
186,184,down,0,MitoStruct
188,185,down,0,MitoStruct
222,200,down,0,MitoStruct
1254,697,down,0,MitoStruct
224,201,down,0,MitoStruct
226,202,down,0,MitoStruct
1252,695,down,0,MitoStruct
228,203,down,0,MitoStruct
230,204,down,0,MitoStruct
1250,694,down,0,MitoStruct
232,205,down,0,MitoStruct
234,21,down,0,MitoStruct
1248,693,down,0,MitoStruct
236,216,down,0,MitoStruct
238,217,down,0,MitoStruct
1246,692,down,0,MitoStruct
