,spid,direction,hit,meas
810,490,down,0,CellCount
844,506,down,0,CellCount
782,478,down,2,CellCount
944,553,down,4,CellCount
848,508,down,0,CellCount
882,524,down,0,CellCount
884,525,down,0,CellCount
924,544,down,1,CellCount
886,526,down,0,CellCount
888,527,down,0,CellCount
922,543,down,0,CellCount
890,528,down,0,CellCount
892,529,down,0,CellCount
920,542,down,0,CellCount
926,545,down,0,CellCount
894,53,down,0,CellCount
918,541,down,0,CellCount
898,531,down,4,CellCount
900,532,down,0,CellCount
916,540,down,1,CellCount
902,533,down,0,CellCount
904,535,down,0,CellCount
914,54,down,0,CellCount
906,536,down,0,CellCount
908,537,down,0,CellCount
896,530,down,0,CellCount
880,523,down,0,CellCount
878,522,down,0,CellCount
928,546,down,0,CellCount
942,552,down,0,CellCount
850,509,down,4,CellCount
852,51,down,0,CellCount
940,551,down,0,CellCount
854,510,down,0,CellCount
856,511,down,0,CellCount
938,550,down,0,CellCount
858,512,down,0,CellCount
860,513,down,4,CellCount
936,55,down,0,CellCount
862,514,down,0,CellCount
864,515,down,0,CellCount
934,549,down,0,CellCount
866,516,down,0,CellCount
868,518,down,0,CellCount
932,548,down,0,CellCount
870,519,down,0,CellCount
872,52,down,0,CellCount
930,547,down,0,CellCount
874,520,down,0,CellCount
876,521,down,0,CellCount
846,507,down,4,CellCount
392,287,down,0,CellCount
976,568,down,0,CellCount
778,476,down,0,CellCount
686,424,down,0,CellCount
688,425,down,0,CellCount
1022,59,down,0,CellCount
690,426,down,0,CellCount
692,427,down,0,CellCount
1020,589,down,0,CellCount
694,428,down,0,CellCount
696,429,down,0,CellCount
1018,588,down,0,CellCount
1024,590,down,0,CellCount
698,43,down,0,CellCount
1016,587,down,0,CellCount
702,431,down,0,CellCount
704,432,down,0,CellCount
1014,585,down,0,CellCount
706,433,down,0,CellCount
708,434,down,0,CellCount
1012,584,down,1,CellCount
710,435,down,0,CellCount
712,436,down,0,CellCount
700,430,down,0,CellCount
684,423,down,0,CellCount
1366,99,down,0,CellCount
682,422,down,0,CellCount
654,409,down,0,CellCount
1038,597,down,1,CellCount
656,41,down,0,CellCount
658,411,down,1,CellCount
1036,596,down,0,CellCount
660,412,down,0,CellCount
662,413,down,0,CellCount
1034,595,down,0,CellCount
664,414,down,0,CellCount
666,415,down,0,CellCount
1032,594,down,2,CellCount
668,416,down,0,CellCount
670,417,down,0,CellCount
1030,593,down,1,CellCount
672,418,down,0,CellCount
674,419,down,0,CellCount
1028,592,down,1,CellCount
676,42,down,4,CellCount
678,420,down,0,CellCount
1026,591,down,1,CellCount
680,421,down,0,CellCount
1010,583,down,1,CellCount
780,477,down,0,CellCount
714,437,down,0,CellCount
1008,582,down,0,CellCount
752,464,down,0,CellCount
990,574,down,0,CellCount
754,465,down,0,CellCount
756,466,down,0,CellCount
988,573,down,3,CellCount
758,467,down,0,CellCount
760,468,down,0,CellCount
986,572,down,2,CellCount
762,469,down,0,CellCount
750,463,down,0,CellCount
764,47,down,1,CellCount
766,470,down,3,CellCount
768,471,down,0,CellCount
982,570,down,0,CellCount
770,472,down,0,CellCount
772,473,down,0,CellCount
980,57,down,0,CellCount
774,474,down,0,CellCount
776,475,down,0,CellCount
978,569,down,1,CellCount
984,571,down,0,CellCount
992,575,down,0,CellCount
748,462,down,1,CellCount
746,461,down,1,CellCount
718,439,down,0,CellCount
720,44,down,0,CellCount
1006,581,down,0,CellCount
722,440,down,0,CellCount
724,443,down,0,CellCount
1004,580,down,2,CellCount
726,45,down,4,CellCount
728,451,down,0,CellCount
1002,58,down,0,CellCount
730,452,down,0,CellCount
732,453,down,0,CellCount
1000,579,down,1,CellCount
734,454,down,0,CellCount
736,455,down,0,CellCount
998,578,down,1,CellCount
738,456,down,0,CellCount
740,457,down,0,CellCount
996,577,down,1,CellCount
742,459,down,0,CellCount
744,46,down,0,CellCount
994,576,down,1,CellCount
716,438,down,0,CellCount
1170,658,down,0,CellCount
1138,643,down,0,CellCount
1268,702,down,0,CellCount
1286,710,down,0,CellCount
160,172,down,2,CellCount
162,173,down,0,CellCount
1284,71,down,0,CellCount
164,174,down,0,CellCount
166,175,down,0,CellCount
1282,709,down,0,CellCount
168,176,down,0,CellCount
170,177,down,0,CellCount
1280,708,down,1,CellCount
172,178,down,0,CellCount
174,179,down,4,CellCount
1278,707,down,0,CellCount
176,18,down,0,CellCount
178,180,down,1,CellCount
1276,706,down,0,CellCount
180,181,down,0,CellCount
182,182,down,0,CellCount
1274,705,down,0,CellCount
158,171,down,0,CellCount
156,170,down,0,CellCount
1288,713,down,0,CellCount
154,17,down,0,CellCount
1302,72,down,2,CellCount
128,158,down,0,CellCount
130,159,down,2,CellCount
1300,719,down,0,CellCount
132,16,down,0,CellCount
134,160,down,0,CellCount
1298,718,down,0,CellCount
136,161,down,0,CellCount
138,162,down,0,CellCount
184,183,down,3,CellCount
1296,717,down,0,CellCount
142,164,down,0,CellCount
1294,716,down,0,CellCount
144,165,down,2,CellCount
146,166,down,0,CellCount
1292,715,down,0,CellCount
