,spid,direction,hit,meas
810,490,down,0,NucMask
844,506,down,0,NucMask
782,478,down,0,NucMask
944,553,down,0,NucMask
848,508,down,0,NucMask
882,524,down,0,NucMask
884,525,down,0,NucMask
924,544,down,0,NucMask
886,526,down,0,NucMask
888,527,down,0,NucMask
922,543,down,0,NucMask
890,528,down,0,NucMask
892,529,down,0,NucMask
920,542,down,0,NucMask
926,545,down,0,NucMask
894,53,down,0,NucMask
918,541,down,0,NucMask
898,531,down,0,NucMask
900,532,down,0,NucMask
916,540,down,0,NucMask
902,533,down,0,NucMask
904,535,down,0,NucMask
914,54,down,0,NucMask
906,536,down,0,NucMask
908,537,down,0,NucMask
896,530,down,0,NucMask
880,523,down,0,NucMask
878,522,down,0,NucMask
928,546,down,0,NucMask
942,552,down,0,NucMask
850,509,down,0,NucMask
852,51,down,0,NucMask
940,551,down,0,NucMask
854,510,down,0,NucMask
856,511,down,0,NucMask
938,550,down,0,NucMask
858,512,down,0,NucMask
860,513,down,0,NucMask
936,55,down,0,NucMask
862,514,down,0,NucMask
864,515,down,0,NucMask
934,549,down,0,NucMask
866,516,down,0,NucMask
868,518,down,0,NucMask
932,548,down,0,NucMask
870,519,down,0,NucMask
872,52,down,0,NucMask
930,547,down,0,NucMask
874,520,down,0,NucMask
876,521,down,0,NucMask
846,507,down,1,NucMask
392,287,down,0,NucMask
976,568,down,0,NucMask
778,476,down,0,NucMask
686,424,down,0,NucMask
688,425,down,0,NucMask
1022,59,down,0,NucMask
690,426,down,0,NucMask
692,427,down,0,NucMask
1020,589,down,0,NucMask
694,428,down,0,NucMask
696,429,down,0,NucMask
1018,588,down,0,NucMask
1024,590,down,0,NucMask
698,43,down,0,NucMask
1016,587,down,0,NucMask
702,431,down,0,NucMask
704,432,down,0,NucMask
1014,585,down,0,NucMask
706,433,down,0,NucMask
708,434,down,0,NucMask
1012,584,down,0,NucMask
710,435,down,0,NucMask
712,436,down,0,NucMask
700,430,down,0,NucMask
684,423,down,0,NucMask
1366,99,down,0,NucMask
682,422,down,0,NucMask
654,409,down,0,NucMask
