,spid,direction,hit,meas
902,533,down,0,ROS
904,535,down,0,ROS
914,54,down,0,ROS
906,536,down,0,ROS
908,537,down,0,ROS
896,530,down,0,ROS
880,523,down,0,ROS
878,522,down,0,ROS
928,546,down,0,ROS
942,552,down,0,ROS
850,509,down,0,ROS
852,51,down,0,ROS
940,551,down,0,ROS
854,510,down,0,ROS
856,511,down,0,ROS
938,550,down,0,ROS
858,512,down,0,ROS
860,513,down,0,ROS
936,55,down,0,ROS
862,514,down,0,ROS
864,515,down,0,ROS
934,549,down,0,ROS
866,516,down,0,ROS
868,518,down,0,ROS
932,548,down,0,ROS
870,519,down,0,ROS
872,52,down,0,ROS
930,547,down,0,ROS
874,520,down,0,ROS
876,521,down,0,ROS
846,507,down,0,ROS
392,287,down,0,ROS
976,568,down,0,ROS
778,476,down,0,ROS
686,424,down,0,ROS
688,425,down,0,ROS
1022,59,down,0,ROS
690,426,down,0,ROS
692,427,down,0,ROS
1020,589,down,0,ROS
694,428,down,0,ROS
696,429,down,0,ROS
1018,588,down,0,ROS
1024,590,down,0,ROS
698,43,down,0,ROS
1016,587,down,0,ROS
702,431,down,0,ROS
704,432,down,0,ROS
1014,585,down,0,ROS
706,433,down,0,ROS
708,434,down,0,ROS
1012,584,down,0,ROS
710,435,down,0,ROS
712,436,down,0,ROS
700,430,down,0,ROS
684,423,down,0,ROS
1366,99,down,0,ROS
682,422,down,0,ROS
654,409,down,0,ROS
1038,597,down,0,ROS
656,41,down,0,ROS
658,411,down,0,ROS
1036,596,down,0,ROS
660,412,down,0,ROS
662,413,down,0,ROS
1034,595,down,0,ROS
664,414,down,0,ROS
666,415,down,0,ROS
1032,594,down,0,ROS
668,416,down,0,ROS
670,417,down,0,ROS
1030,593,down,0,ROS
672,418,down,0,ROS
674,419,down,0,ROS
1028,592,down,0,ROS
676,42,down,0,ROS
678,420,down,0,ROS
1026,591,down,0,ROS
680,421,down,0,ROS
1010,583,down,0,ROS
780,477,down,0,ROS
714,437,down,0,ROS
1008,582,down,0,ROS
752,464,down,0,ROS
990,574,down,0,ROS
754,465,down,0,ROS
756,466,down,0,ROS
988,573,down,0,ROS
758,467,down,0,ROS
760,468,down,0,ROS
986,572,down,0,ROS
762,469,down,0,ROS
750,463,down,0,ROS
764,47,down,0,ROS
766,470,down,0,ROS
768,471,down,0,ROS
982,570,down,0,ROS
770,472,down,0,ROS
772,473,down,0,ROS
980,57,down,0,ROS
774,474,down,0,ROS
776,475,down,0,ROS
978,569,down,0,ROS
984,571,down,0,ROS
992,575,down,0,ROS
748,462,down,0,ROS
746,461,down,0,ROS
718,439,down,0,ROS
720,44,down,0,ROS
1006,581,down,0,ROS
722,440,down,0,ROS
724,443,down,0,ROS
1004,580,down,0,ROS
726,45,down,0,ROS
728,451,down,0,ROS
1002,58,down,0,ROS
730,452,down,0,ROS
732,453,down,0,ROS
1000,579,down,0,ROS
734,454,down,0,ROS
736,455,down,0,ROS
998,578,down,0,ROS
738,456,down,0,ROS
740,457,down,0,ROS
996,577,down,0,ROS
742,459,down,0,ROS
744,46,down,0,ROS
994,576,down,0,ROS
716,438,down,0,ROS
1170,658,down,0,ROS
1138,643,down,0,ROS
1268,702,down,0,ROS
1286,710,down,0,ROS
160,172,down,0,ROS
162,173,down,0,ROS
1284,71,down,0,ROS
164,174,down,0,ROS
166,175,down,0,ROS
1282,709,down,0,ROS
168,176,down,0,ROS
170,177,down,0,ROS
1280,708,down,0,ROS
172,178,down,0,ROS
174,179,down,0,ROS
1278,707,down,0,ROS
176,18,down,0,ROS
178,180,down,0,ROS
1276,706,down,0,ROS
180,181,down,0,ROS
182,182,down,0,ROS
1274,705,down,0,ROS
158,171,down,0,ROS
156,170,down,0,ROS
1288,713,down,0,ROS
154,17,down,0,ROS
1302,72,down,0,ROS
128,158,down,0,ROS
130,159,down,0,ROS
1300,719,down,0,ROS
132,16,down,0,ROS
134,160,down,0,ROS
1298,718,down,0,ROS
136,161,down,0,ROS
138,162,down,0,ROS
184,183,down,0,ROS
1296,717,down,0,ROS
