,spid,direction,hit,meas
902,533,down,0,MMP
904,535,down,0,MMP
914,54,down,0,MMP
906,536,down,0,MMP
908,537,down,0,MMP
896,530,down,0,MMP
880,523,down,0,MMP
878,522,down,0,MMP
928,546,down,0,MMP
942,552,down,0,MMP
850,509,down,0,MMP
852,51,down,0,MMP
940,551,down,0,MMP
854,510,down,0,MMP
856,511,down,0,MMP
938,550,down,0,MMP
858,512,down,0,MMP
860,513,down,0,MMP
936,55,down,0,MMP
862,514,down,0,MMP
864,515,down,0,MMP
934,549,down,0,MMP
866,516,down,0,MMP
868,518,down,0,MMP
932,548,down,0,MMP
870,519,down,0,MMP
872,52,down,0,MMP
930,547,down,0,MMP
874,520,down,0,MMP
876,521,down,0,MMP
846,507,down,0,MMP
392,287,down,0,MMP
976,568,down,0,MMP
778,476,down,0,MMP
686,424,down,0,MMP
688,425,down,0,MMP
1022,59,down,0,MMP
690,426,down,0,MMP
692,427,down,0,MMP
1020,589,down,0,MMP
694,428,down,0,MMP
696,429,down,0,MMP
1018,588,down,0,MMP
1024,590,down,0,MMP
698,43,down,0,MMP
1016,587,down,0,MMP
702,431,down,0,MMP
704,432,down,0,MMP
1014,585,down,0,MMP
706,433,down,0,MMP
708,434,down,0,MMP
1012,584,down,0,MMP
710,435,down,0,MMP
712,436,down,0,MMP
700,430,down,0,MMP
684,423,down,0,MMP
1366,99,down,0,MMP
682,422,down,0,MMP
654,409,down,0,MMP
1038,597,down,0,MMP
656,41,down,0,MMP
658,411,down,0,MMP
1036,596,down,0,MMP
660,412,down,0,MMP
662,413,down,0,MMP
1034,595,down,0,MMP
664,414,down,0,MMP
666,415,down,0,MMP
1032,594,down,0,MMP
668,416,down,0,MMP
670,417,down,0,MMP
1030,593,down,0,MMP
672,418,down,0,MMP
674,419,down,0,MMP
1028,592,down,0,MMP
676,42,down,0,MMP
678,420,down,0,MMP
1026,591,down,0,MMP
680,421,down,0,MMP
1010,583,down,0,MMP
780,477,down,0,MMP
714,437,down,0,MMP
1008,582,down,0,MMP
752,464,down,0,MMP
990,574,down,0,MMP
754,465,down,0,MMP
756,466,down,0,MMP
988,573,down,0,MMP
758,467,down,0,MMP
760,468,down,0,MMP
986,572,down,0,MMP
762,469,down,0,MMP
750,463,down,0,MMP
764,47,down,0,MMP
766,470,down,0,MMP
768,471,down,0,MMP
982,570,down,0,MMP
770,472,down,0,MMP
772,473,down,0,MMP
980,57,down,0,MMP
774,474,down,0,MMP
776,475,down,0,MMP
978,569,down,0,MMP
984,571,down,0,MMP
992,575,down,0,MMP
748,462,down,0,MMP
746,461,down,0,MMP
718,439,down,0,MMP
720,44,down,0,MMP
1006,581,down,0,MMP
722,440,down,0,MMP
724,443,down,0,MMP
1004,580,down,0,MMP
726,45,down,0,MMP
728,451,down,0,MMP
1002,58,down,0,MMP
730,452,down,0,MMP
732,453,down,0,MMP
1000,579,down,0,MMP
734,454,down,0,MMP
736,455,down,0,MMP
998,578,down,0,MMP
738,456,down,0,MMP
740,457,down,0,MMP
996,577,down,0,MMP
742,459,down,0,MMP
744,46,down,0,MMP
994,576,down,0,MMP
716,438,down,0,MMP
1170,658,down,0,MMP
1138,643,down,0,MMP
1268,702,down,0,MMP
1286,710,down,0,MMP
160,172,down,0,MMP
162,173,down,0,MMP
1284,71,down,0,MMP
164,174,down,0,MMP
166,175,down,0,MMP
1282,709,down,0,MMP
168,176,down,0,MMP
170,177,down,0,MMP
1280,708,down,0,MMP
172,178,down,0,MMP
174,179,down,0,MMP
1278,707,down,0,MMP
176,18,down,0,MMP
178,180,down,2,MMP
1276,706,down,0,MMP
180,181,down,0,MMP
182,182,down,0,MMP
1274,705,down,0,MMP
158,171,down,0,MMP
156,170,down,0,MMP
1288,713,down,0,MMP
154,17,down,0,MMP
1302,72,down,0,MMP
128,158,down,0,MMP
130,159,down,0,MMP
1300,719,down,0,MMP
132,16,down,0,MMP
134,160,down,0,MMP
1298,718,down,0,MMP
136,161,down,0,MMP
138,162,down,0,MMP
184,183,down,0,MMP
1296,717,down,0,MMP
142,164,down,0,MMP
1294,716,down,0,MMP
144,165,down,0,MMP
